BGP_ID,replicate,penn_length,penn_num,plum_length,plum_num,plum_nodes
23N00538,B,0.334,24,0.788,36,7
23N00538,C,0.34,24,0.869,29,8
23N00539,A,0.431,22,0.758,21,7
23N00539,B,0.339,22,0.859,38,8
23N00539,C,0.405,20,0.708,29,8
23N00540,A,0.306,16,0.817,23,6
23N00540,B,0.488,15,1.042,25,7
23N00540,C,0.44,16,0.919,18,6
23N00541,A,0.299,20,1.118,27,8
23N00541,B,0.444,22,0.79,25,7
23N00541,C,0.342,14,0.938,29,8
23N00542,A,0.426,15,1.083,24,6
23N00542,B,0.408,16,0.893,25,6
23N00542,C,0.449,15,0.793,24,7
23N00543,A,0.37,19,1.006,26,6
23N00543,B,0.415,13,0.992,22,6
23N00543,C,0.368,15,1.109,23,6
23N00544,A,0.261,23,0.752,32,8
23N00544,B,0.392,19,0.78,22,8
23N00544,C,0.341,20,0.739,27,8
23N00545,A,0.374,20,0.881,35,8
23N00545,B,0.403,21,0.748,27,8
23N00545,C,0.325,21,0.767,28,8
23N00546,A,0.435,21,0.842,27,7
23N00546,B,0.338,25,0.915,29,7
23N00546,C,0.363,24,0.823,29,8
23N00547,A,0.328,22,0.857,29,9
23N00547,B,0.369,23,0.693,28,7
23N00547,C,0.347,22,0.7,33,8
23N00548,A,0.371,21,0.773,38,8
23N00548,B,0.303,19,0.702,26,8
23N00548,C,0.379,20,0.917,24,8
23N00549,A,0.347,20,0.938,28,8
23N00549,B,0.389,16,0.837,27,7
23N00549,C,0.359,18,1.042,25,8
23N00550,A,0.352,22,0.691,31,8
23N00550,B,0.364,21,0.723,31,7
23N00550,C,0.361,23,0.677,33,8
23N00551,A,0.348,22,1.073,32,7
23N00551,B,0.383,20,0.856,29,7
23N00551,C,0.3,27,0.718,33,7
23N00552,A,0.394,14,1.019,25,7
23N00552,B,0.455,16,1.068,25,6
23N00552,C,0.406,11,0.804,26,6
23N00553,A,0.487,23,0.887,29,7
23N00553,B,0.359,22,0.88,27,6
23N00553,C,0.38,22,0.807,31,7
23N00554,A,0.373,23,0.72,30,8
23N00554,B,0.349,23,0.838,32,7
23N00554,C,0.35,23,0.7,29,7
23N00555,A,0.39,20,0.995,33,8
23N00555,B,0.324,23,0.772,34,7
23N00555,C,0.345,19,0.76,27,7
23N00556,A,0.329,23,0.87,23,7
23N00556,B,0.308,22,0.869,27,7
23N00556,C,0.288,24,0.999,29,7
24N13194,A,0.309,23,0.967,34,7
24N13194,B,0.345,23,0.701,29,8
24N13194,C,0.339,22,0.741,30,7
24N13195,A,0.359,17,0.788,27,8
24N13195,B,0.382,19,0.643,26,8
24N13195,C,0.393,19,0.787,26,8
24N13196,A,0.41,20,0.744,28,7
24N13196,B,0.419,19,0.766,25,7
24N13196,C,0.322,20,0.854,32,7
24N13197,A,0.33,20,0.769,28,8
24N13197,B,0.283,23,0.985,27,7
24N13197,C,0.323,26,0.762,33,8
24N13198,A,0.362,25,0.845,31,8
24N13198,B,0.285,23,0.907,27,7
24N13198,C,0.212,26,0.775,32,7
24N13199,A,0.44,15,1.074,23,7
24N13199,B,0.453,18,0.989,24,6
24N13199,C,0.408,15,0.802,30,6
