BGP_ID,band_number,recap,site,site_code,lat,long,month,day,year,collected_by,feather,blood,sequenced,sex,age,weight,wing_chord,tarsus,tarsus_hair_full,tarsus_hair_jointdown,bill_color,tail_length,nare_length,bristle_length,bristle_per,beak_depth,beak_width,nare_end_length,culmen_end_length
23N00505,2821-42609,N,Piutepass,PIPA,NA,NA,7,7,2021,Tim Brown,Y,Y,Y,M,3,27,102,21,16.5,5.5,6,58,3.2,2.5,65,6.5,4.8,9.7,12
23N00506,2821-42610,N,Piutepass,PIPA,NA,NA,7,7,2021,Tim Brown,Y,Y,Y,F,2,23.8,96,20,14.9,4,6,62,2,2.5,100,6.2,5.5,8.5,12
23N00507,2821-42611,N,Piutepass,PIPA,NA,NA,7,7,2021,Tim Brown,Y,Y,Y,F,2,27.3,95,19.5,15,3.9,6,59,2.2,2.7,100,6.2,5,8.5,10.5
23N00508,2821-42612,N,Piutepass,PIPA,NA,NA,7,7,2021,Tim Brown,Y,Y,Y,M,3,26.2,103,21.5,16.5,5.3,6,61,2.2,1.8,85,5.5,5,8.5,11.5
23N00509,2821-42613,N,Piutepass,PIPA,NA,NA,7,7,2021,Tim Brown,Y,Y,Y,M,3,26.9,105,21.5,16.5,4.7,6,63,2.5,1.8,80,6.5,6,10.5,12
23N00510,2821-42614,N,Piutepass,PIPA,NA,NA,7,7,2021,Tim Brown,Y,Y,Y,M,3,26.4,110,22.3,16,4.5,6,63,2.2,2.8,100,6,4.5,8,11.5
23N00511,2821-42615,N,Piutepass,PIPA,NA,NA,7,22,2021,Tim Brown,Y,Y,Y,F,3,24.66,98,20.4,12.09,4.34,4,59,2.28,2.3,100,6.89,6.82,8.67,11.02
23N00512,2821-42616,N,Piutepass,PIPA,NA,NA,7,22,2021,Tim Brown,Y,Y,Y,M,3,24.96,103,21.03,17.12,5.13,6,63,2.45,1.9,95,7.43,6.59,8.62,10.75
23N00422,1361-46524,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,M,2,27.3,103,21.7,17.46,6.2,6,78,1.74,2.03,60,6.82,6.31,9.33,12.14
23N00423,1361-46525,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,F,2,23,96,19.8,14.61,3.89,6,54,2.37,2.94,65,6.91,5.11,8.53,11.57
23N00424,1361-46526,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,M,2,25.1,101,20.1,16.7,6.03,6,57,2.22,2.32,90,6.53,6.27,8.41,11.39
23N00425,1361-46527,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,F,2,26.7,99,19.7,15.54,5.03,6,59,1.86,2.88,80,6.94,6.48,8.85,11.27
23N00426,1361-46528,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,UNK,4,23.4,101,20.1,15.72,4.82,2,61,1.92,1.97,100,6.37,5.99,7.58,10.28
23N00427,1361-46529,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,UNK,4,24.7,103,20.7,13.33,4.67,2,64,1.68,2.95,100,6.59,5.53,7.04,9.6
