"","BGP_ID","band_number","site_code","sex","age","wing_chord","tarsus","tail_length","nare_length","bristle_length","beak_depth","beak_width","culmen_end_length","pen_length","pen_num","plum_length","plum_number","nodes"
"69","23N00430","1361-46532","WMTN","F",2,94,18.4,54,1.75,2.34,6.5,5.72,10.87,0.386333333333333,20.3333333333333,0.851333333333333,28.3333333333333,6.66666666666667
"70","23N00431","1361-46533","WMTN","M",3,101,21,66,1.84,2.61,6.89,6.84,11.07,0.387333333333333,20.3333333333333,0.649666666666667,31.6666666666667,7.66666666666667
"71","23N00432","1361-46534","WMTN","UNK",4,99,21.4,63,1.54,2.94,6.67,5.95,10.17,0.404,16.6666666666667,0.703,30.3333333333333,6.33333333333333
"72","23N00433","1361-46535","WMTN","F",3,95,20.5,51,2.52,2.89,6.82,6.35,12.2,0.337,22,0.857333333333333,26.3333333333333,7
"73","23N00434","1361-46536","WMTN","UNK",4,101,21.3,NA,1.64,3.36,7.02,5.93,9.49,0.524,15,0.650666666666667,20.6666666666667,5.33333333333333
"74",NA,"1361-46537","WMTN","M",2,101,20.2,54,2.14,2.49,7.09,6.59,11.58,NA,NA,NA,NA,NA
"75","23N00436","1361-46539","WMTN","M",3,101,19.9,61,1.83,3.48,6.8,5.99,11.24,0.392666666666667,21.6666666666667,0.628,33,7
"76","23N00437","1361-46540","WMTN","UNK",4,101,19.9,NA,NA,NA,NA,NA,NA,0.487333333333333,14,1.108,26.6666666666667,5.66666666666667
"77",NA,"1361-46541","WMTN","UNK",4,103,19.96,62,1.55,2.22,5.82,5.78,10.51,NA,NA,NA,NA,NA
"78","23N00439","1361-46542","WMTN","M",2,102,18.9,66,1.53,2.6,6.69,5.89,11.45,0.371666666666667,22,0.959333333333333,27.6666666666667,7.33333333333333
"79","23N00440","1361-46543","WMTN","F",2,97,20.2,54,2.55,3.25,6.55,6.23,11.46,0.371666666666667,19,0.799333333333333,28.6666666666667,7
"80","23N00441","1361-46544","WMTN","F",2,97,20.6,52,2.51,2.98,6.44,6.3,11.28,0.357666666666667,19.3333333333333,0.806333333333333,25.6666666666667,6.33333333333333
"81","23N00442","1361-46545","WMTN","F",2,92,19.2,57,1.43,2.04,6.03,6.66,11.92,0.360666666666667,21,0.796,27.6666666666667,7.33333333333333
"82","23N00443","1361-46546","WMTN","F",2,97,20.4,56,1.48,3.05,6.17,6.37,10.67,0.358666666666667,18.3333333333333,0.769333333333333,25.6666666666667,7.66666666666667
"83","23N00444","1361-46547","WMTN","M",2,NA,NA,NA,NA,NA,NA,NA,NA,0.337333333333333,21.3333333333333,0.704666666666667,30,7.33333333333333
"84","23N00445","1361-46548","WMTN","M",2,99,19.7,61,1.67,1.99,7.12,6.42,12.15,0.388,20,0.787666666666667,29,7
"85","23N00446","1361-46549","WMTN","M",3,101,19.4,67,1.72,2.05,6.11,5.74,11.09,0.486666666666667,22.6666666666667,0.762666666666667,31.6666666666667,7.33333333333333
"86","23N00447","1361-46550","WMTN","UNK",4,100,19.2,58,1.53,2.85,5.63,5.03,10.02,NA,NA,NA,NA,NA
"87","23N00448","1361-46551","WMTN","F",2,NA,NA,54,1.44,2.91,NA,NA,NA,0.404666666666667,21,0.788333333333333,26.6666666666667,7.66666666666667
"88","23N00449","1361-46552","WMTN","M",2,101,19.3,62,2.02,2.15,6.72,6.22,11.59,0.448333333333333,18.6666666666667,0.893,28.6666666666667,7
"89","23N00450","1361-46553","WMTN","UNK",4,100,19.84,57,1.53,2.02,5.72,5.7,10.28,NA,NA,NA,NA,NA
"90","23N00451","1361-46554","WMTN","UNK",4,100,19.98,60,1.87,2.29,5.8,5.64,10.26,NA,NA,NA,NA,NA
"91","23N00452","1361-46555","WMTN","UNK",4,99,20.3,57,1.64,2,6.4,5.72,9.93,NA,NA,NA,NA,NA
"92","23N00453","1361-46556","WMTN","F",2,95,20.3,55,2.1,1.97,7.06,6.88,11.81,0.372333333333333,19.3333333333333,0.721333333333333,26,7
"93","23N00454","1361-46557","WMTN","F",2,NA,NA,56,2.1,1.95,6.08,6.45,11.27,0.361333333333333,21.6666666666667,0.939333333333333,32.6666666666667,7.33333333333333
"94",NA,"1361-46558","WMTN","UNK",4,100,20.3,59,1.58,2.06,5.61,5,10.82,NA,NA,NA,NA,NA
"95","23N00456","1361-46559","WMTN","UNK",4,102,21.2,60,1.8,2.38,5.69,5.13,10.14,NA,NA,NA,NA,NA
"96","23N00457","1361-46560","WMTN","F",2,97,19.9,57,1.99,2.01,6.16,6.66,11.62,NA,NA,NA,NA,NA
"97","23N00458","1361-46561","WMTN","F",2,98,20.2,53,2.5,2.17,6.53,6.27,12.02,0.340666666666667,21.3333333333333,0.960333333333333,27.3333333333333,6.33333333333333
"98","23N00460","1361-46563","PIPA","UNK",4,103,20.4,67,1.91,3.22,NA,NA,NA,0.403,13.25,0.8785,27.75,6.5
"99","23N00461","1361-46564","PIPA","F",3,99,19.4,51,2.89,3.01,6.47,6.44,11.97,0.2918,18.4,0.6826,28.6,7.6
"100","23N00462","1361-46565","PIPA","F",3,100,20.1,54,2.49,2.85,7.31,6.83,11.65,0.3226,19.8,0.8132,25.6,7.8
"101","23N00463","1361-46566","PIPA","M",3,104,21.8,65,2.69,2.79,7.01,5.98,10.74,0.394333333333333,22.6666666666667,0.681333333333333,29.6666666666667,7
"102","23N00464","1361-46567","PIPA","UNK",4,99,19.7,57,2.51,2.9,NA,NA,NA,0.521333333333333,13.3333333333333,0.972666666666667,25.6666666666667,5.33333333333333
"103","23N00465","1361-46568","PIPA","F",3,97,19.1,53,2.1,1.87,6.16,5.92,12.3,0.304666666666667,22,0.821333333333333,32.3333333333333,7.33333333333333
"104","23N00466","1361-46569","PIPA","M",2,101,20,55,2.47,2.39,7,5.87,11.45,0.386666666666667,19.6666666666667,0.788,30.3333333333333,7.33333333333333
"105","23N00467","1361-46570","PIPA","UNK",4,99,18.1,56,1.89,1.7,NA,NA,NA,0.510666666666667,13.3333333333333,0.958666666666667,22.6666666666667,6
"106","23N00468","1361-46571","PIPA","F",2,99,19.7,51,2.09,1.84,6.39,6.13,12.54,0.318333333333333,20,0.851333333333333,25.3333333333333,7.33333333333333
"107","23N00469","1361-46572","PIPA","F",2,97,19.9,55,2.3,1.81,6.62,6.41,11.56,0.334333333333333,19.6666666666667,0.820333333333333,29,7
"108","23N00470","1361-46573","PIPA","F",3,95,19.6,52,2.84,2.19,6.64,6.03,11.14,0.360666666666667,21.6666666666667,0.814666666666667,31.3333333333333,7.33333333333333
"109","23N00471","1361-46574","PIPA","F",2,100,19.9,51,2.93,2.74,7.03,6.6,11.7,0.345333333333333,24.6666666666667,0.749,30,6.66666666666667
"110","23N00472","1361-46575","PIPA","M",3,101,20,56,2.5,2.01,7.49,6.03,12.87,0.435666666666667,21.3333333333333,0.797666666666667,33.3333333333333,6.66666666666667
"111","23N00473","1361-46576","PIPA","M",2,102,20.4,55,2.45,2.06,7.13,7.07,11.18,0.379666666666667,19,0.826,31.3333333333333,7
"113","23N00474","1361-46577","PIPA","M",3,105,20.3,65,1.55,2.98,6.51,6.3,11.39,0.398333333333333,19.3333333333333,0.901333333333333,28,6.66666666666667
"114","23N00475","1361-46578","PIPA","UNK",4,97,19.4,64,1.81,2.8,NA,NA,NA,0.396333333333333,14.3333333333333,1.024,24.6666666666667,6.33333333333333
"115","23N00476","1361-46579","PIPA","F",2,98,19.2,64,1.65,2.56,6.8,5.96,11.89,0.378666666666667,17.3333333333333,0.833333333333333,24.3333333333333,7
"116","23N00477","1361-46580","PIPA","M",2,101,20.4,67,1.59,3.83,7,6.54,11.21,0.315666666666667,20,0.796333333333333,26.3333333333333,7
"117","23N00478","1361-46581","PIPA","M",2,103,19.9,60,2.76,2.33,6.66,6.26,11,0.327333333333333,20.3333333333333,0.644333333333333,27,7.33333333333333
"118","23N00479","1361-46582","PIPA","UNK",4,99,19.3,56,2.82,3.02,NA,NA,NA,0.466333333333333,16,0.843666666666667,28.6666666666667,6.66666666666667
"119","23N00480","1361-46583","PIPA","UNK",4,98,20.4,54,2.35,1.94,NA,NA,NA,0.429666666666667,14,0.856333333333333,31,6
"120","23N00481","1361-46584","PIPA","M",3,103,20.3,69,2.87,1.99,6.5,6.72,11.24,0.415,22,0.738,27.6666666666667,7
"121","23N00482","1361-46585","PIPA","M",3,105,20.9,67,1.45,2.7,6.82,5.81,11.83,0.435666666666667,20.3333333333333,0.873,29,7.33333333333333
"122","23N00483","1361-46586","PIPA","M",2,102,19.5,60,1.71,2.84,6.95,5.78,11.39,NA,NA,NA,NA,NA
"123","23N00484","1361-46587","PIPA","M",3,108,21.2,72,1.49,3.11,6.81,6.33,10.89,0.3456,19.2,0.7184,31.6,7.8
"124","23N00485","1361-46588","PIPA","UNK",4,102,20.8,67,1.8,2.34,NA,NA,NA,0.3868,15.6,0.8424,29.2,6.2
"125","23N00486","1361-46589","PIPA","M",2,100,19.2,63,1.64,2.49,6.51,5.42,11.98,0.311,16.8,0.6604,26.2,7.2
"126",NA,"1361-46590","PIPA","M",3,105,20.2,64,2.79,2.38,7.79,5.4,11.41,NA,NA,NA,NA,NA
"127","23N00488","1361-46591","PIPA","UNK",4,100,18.5,60,2.45,2.13,NA,NA,NA,0.3718,16.2,0.8068,24.8,6.2
"128","23N00489","1361-46592","PIPA","UNK",4,103,20.6,58,2.15,1.93,NA,NA,NA,0.373,14,0.8114,21,6.2
"129","23N00490","1361-46593","PIPA","UNK",4,99,20.1,63,2.05,1.97,NA,NA,NA,0.608666666666667,14.6666666666667,0.920333333333333,27.6666666666667,7
"130","23N00491","1361-46594","PIPA","UNK",4,99,20.3,64,2.01,2.17,NA,NA,NA,0.449666666666667,14,0.930666666666667,23,6
"131","23N00492","1361-46595","PIPA","M",3,104,20.4,66,2.5,2.25,6.74,5.54,11.55,0.304333333333333,20,0.833333333333333,26,7.33333333333333
"132","23N00493","1361-46596","PIPA","F",3,97,19.6,59,2.52,2.27,6.25,6.34,11.52,0.374,18,0.743,31.6666666666667,7.66666666666667
